Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BKN,BKN @ MIA,02/29/2020,2019-20,L,240,113,40,86,46.5,16,44,36.4,17,23,73.9,8,36,44,30,3,3,10,23,-3
MIA,MIA vs. BKN,02/29/2020,2019-20,W,240,116,41,91,45.1,14,38,36.8,20,24,83.3,10,35,45,27,4,4,7,21,3
CLE,CLE vs. IND,02/29/2020,2019-20,L,240,104,41,85,48.2,5,22,22.7,17,20,85.0,6,30,36,30,9,3,16,13,-9
IND,IND @ CLE,02/29/2020,2019-20,W,240,113,47,87,54.0,8,23,34.8,11,14,78.6,8,30,38,30,10,6,13,20,9
BOS,BOS vs. HOU,02/29/2020,2019-20,L,265,110,39,100,39.0,13,42,31.0,19,25,76.0,14,40,54,22,11,6,14,18,-1
HOU,HOU @ BOS,02/29/2020,2019-20,W,265,111,41,98,41.8,15,55,27.3,14,18,77.8,12,41,53,17,10,8,16,20,1
PHX,PHX vs. GSW,02/29/2020,2019-20,L,240,99,34,83,41.0,12,29,41.4,19,23,82.6,8,32,40,24,3,5,20,25,-16
GSW,GSW @ PHX,02/29/2020,2019-20,W,240,115,41,87,47.1,9,30,30.0,24,32,75.0,13,36,49,30,9,6,10,21,16
CHI,CHI @ NYK,02/29/2020,2019-20,L,240,115,41,89,46.1,17,35,48.6,16,23,69.6,13,20,33,26,12,3,8,22,-10
NYK,NYK vs. CHI,02/29/2020,2019-20,W,240,125,47,85,55.3,8,20,40.0,23,33,69.7,17,33,50,29,6,4,17,19,10
ORL,ORL @ SAS,02/29/2020,2019-20,L,240,113,41,84,48.8,15,37,40.5,16,23,69.6,10,31,41,28,9,5,19,16,-1
SAS,SAS vs. ORL,02/29/2020,2019-20,W,240,114,44,84,52.4,14,31,45.2,12,16,75.0,4,27,31,28,11,5,17,20,1
NOP,NOP vs. CLE,02/28/2020,2019-20,W,240,116,48,88,54.5,9,23,39.1,11,15,73.3,12,37,49,36,12,8,17,17,12
CLE,CLE @ NOP,02/28/2020,2019-20,L,240,104,43,95,45.3,11,31,35.5,7,12,58.3,10,24,34,27,7,2,14,13,-12
